Run,simSeconds,simTicks,simInsts,board.cache_hierarchy.l1dcaches.overallMissLatency::total,board.cache_hierarchy.l1dcaches.overallMissRate::total,board.cache_hierarchy.l1dcaches.overallAvgMissLatency::total,board.cache_hierarchy.l1icaches.overallMissLatency::total,board.cache_hierarchy.l1icaches.overallMissRate::total,board.cache_hierarchy.l1icaches.overallAvgMissLatency::total,board.cache_hierarchy.l2cache.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissRate::total,board.cache_hierarchy.l2cache.overallAvgMissLatency::total,board.processor.cores.core.ipc,board.processor.cores.core.numIssuedDist::mean,board.processor.cores.core.commit.branchMispredicts,board.processor.cores.core.commit.numCommittedDist::mean,board.processor.cores.core.fetch.nisnDist::mean,board.processor.cores.core.iew.iqFullEvents,board.processor.cores.core.iew.lsqFullEvents,board.processor.cores.core.iew.wbRate,board.processor.cores.core.rename.ROBFullEvents,board.processor.cores.core.rename.IQFullEvents,board.processor.cores.core.rename.SQFullEvents
inorder-bfs,0.145179,145179151000.0,32269158.0,118472767000.0,0.308825,42948.490566,4164000.0,5e-06,50168.674699,100973218720.0,0.396216,76286.692465,0.222271,,,,,,,,,,
o3-very-big-bfs,0.024078,24078143000.0,32268772.0,312925477649.0,0.434163,62403.737787,6886000.0,5e-06,66211.538462,132101960398.0,0.425669,93747.377204,1.340169,2.195807,336146.0,1.595056,3.607934,0.0,0.0,1.761293,675318.0,,
o3-very-small-bfs,0.059895,59895013000.0,32268772.0,166184844000.0,0.364957,47789.517152,4274000.0,7e-06,57756.756757,109561781147.0,0.40245,81536.290462,0.538756,0.581004,294602.0,0.544329,0.714222,52704.0,0.0,0.572513,3231232.0,1993013.0,15315.0
o3-base-bfs,0.033129,33128629000.0,32268772.0,224669516996.0,0.389265,56148.302863,5117000.0,6e-06,64772.151899,123302548010.0,0.408766,90267.126614,0.974045,1.138875,308048.0,1.013663,1.484155,74547.0,20.0,1.108279,1233891.0,475644.0,64.0
o3-width-04-bfs,0.033129,33128629000.0,32268772.0,224669516996.0,0.389265,56148.302863,5117000.0,6e-06,64772.151899,123302548010.0,0.408766,90267.126614,0.974045,1.138875,308048.0,1.013663,1.484155,74547.0,20.0,1.108279,1233891.0,475644.0,64.0
o3-width-08-bfs,0.0314,31399833000.0,32268772.0,241550104996.0,0.402283,57358.795434,5548000.0,6e-06,67658.536585,125854605991.0,0.412924,91222.787097,1.027673,1.2307,309928.0,1.07932,1.697533,95435.0,357.0,1.194633,1941671.0,885839.0,192.0
o3-width-10-bfs,0.031431,31430818000.0,32268772.0,242420045998.0,0.401359,57508.058765,5767000.0,6e-06,67058.139535,126175378505.0,0.412925,91465.633893,1.02666,1.235381,311148.0,1.080271,1.725893,103365.0,743.0,1.19931,2129686.0,997566.0,156.0
o3-width-12-bfs,0.031449,31449297000.0,32268772.0,242190618000.0,0.400635,57534.951818,5050000.0,6e-06,57386.363636,126087389895.0,0.413459,91222.709054,1.026057,1.235867,311221.0,1.080126,1.734242,105562.0,602.0,1.199682,2222783.0,1067165.0,604.0
o3-rob-032-bfs,0.059918,59918360000.0,32268772.0,171897269000.0,0.371269,48518.926775,4035000.0,6e-06,55273.972603,109936575846.0,0.403992,81493.900625,0.538546,0.581925,294766.0,0.544292,0.767788,0.0,0.0,0.573074,4075018.0,,
o3-rob-064-bfs,0.042636,42635891000.0,32268772.0,199989962997.0,0.387538,52129.115441,5348000.0,6e-06,71306.666667,116755412768.0,0.406995,85813.286859,0.756845,0.849356,299914.0,0.773661,1.114281,0.0,106.0,0.830988,2336299.0,,151.0
o3-rob-128-bfs,0.033129,33128629000.0,32268772.0,224669516996.0,0.389265,56148.302863,5117000.0,6e-06,64772.151899,123302548010.0,0.408766,90267.126614,0.974045,1.138875,308048.0,1.013663,1.484155,74547.0,20.0,1.108279,1233891.0,475644.0,64.0
o3-rob-256-bfs,0.031774,31773535000.0,32268772.0,228945562998.0,0.390831,56652.515759,4598000.0,6e-06,58202.531646,123403759655.0,0.408556,90474.219779,1.015586,1.196196,310502.0,1.060818,1.553652,82613.0,26.0,1.162515,11263.0,722768.0,57.0
o3-rob-512-bfs,0.031761,31760627000.0,32268772.0,229089536998.0,0.390788,56686.739373,5240000.0,6e-06,67179.487179,123532351338.0,0.408536,90569.095168,1.015999,1.196899,310495.0,1.061333,1.554496,82445.0,296.0,1.163138,,716763.0,12.0
