Run,simSeconds,simTicks,simInsts,board.cache_hierarchy.l1dcaches.overallMissLatency::total,board.cache_hierarchy.l1dcaches.overallMissRate::total,board.cache_hierarchy.l1dcaches.overallAvgMissLatency::total,board.cache_hierarchy.l2cache.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissRate::total,board.cache_hierarchy.l2cache.overallAvgMissLatency::total,board.processor.cores.core.ipc,board.cache_hierarchy.l1icaches.overallMissLatency::total,board.processor.cores.core.numIssuedDist::mean,board.processor.cores.core.commit.branchMispredicts,board.processor.cores.core.commit.numCommittedDist::mean,board.processor.cores.core.fetch.nisnDist::mean,board.processor.cores.core.iew.iqFullEvents,board.processor.cores.core.iew.lsqFullEvents,board.processor.cores.core.iew.wbRate,board.processor.cores.core.rename.ROBFullEvents,board.processor.cores.core.rename.IQFullEvents,board.cache_hierarchy.l1icaches.overallMissRate::total,board.cache_hierarchy.l1icaches.overallAvgMissLatency::total,board.processor.cores.core.rename.SQFullEvents
inorder-bubble-sort,0.017804,17803535000.0,12595595.0,330000.0,1e-06,66000.0,1114000.0,0.120301,69625.0,0.707477,,,,,,,,,,,,,
o3-very-big-bubble-sort,0.01023,10230124000.0,12595595.0,13502000.0,3.3e-05,73781.420765,3017961.0,0.218045,104067.62069,1.231226,63000.0,1.924499,302809.0,1.750141,4.734083,0.0,0.0,1.820192,76161.0,,,,
o3-very-small-bubble-sort,0.008148,8148224000.0,12595595.0,3237000.0,7e-06,85184.210526,2321985.0,0.157895,110570.714286,1.545809,,1.91627,298678.0,1.674642,2.716584,1.0,0.0,1.789649,3450.0,639235.0,,,
o3-base-bubble-sort,0.00848,8480260000.0,12595595.0,7909000.0,1.8e-05,76786.407767,2406976.0,0.180451,100290.666667,1.485284,,1.959782,300789.0,1.694355,2.909035,2.0,0.0,1.822361,104.0,51724.0,,,
o3-width-04-bubble-sort,0.00848,8480260000.0,12595595.0,7909000.0,1.8e-05,76786.407767,2406976.0,0.180451,100290.666667,1.485284,,1.959782,300789.0,1.694355,2.909035,2.0,0.0,1.822361,104.0,51724.0,,,
o3-width-08-bubble-sort,0.008883,8882867000.0,12595595.0,5058000.0,1.4e-05,64025.316456,1230997.0,0.12782,72411.588235,1.417965,,2.051186,302433.0,1.748533,3.596616,2.0,0.0,1.924351,191.0,773479.0,,,
o3-width-10-bubble-sort,0.008903,8902604000.0,12595595.0,7298000.0,1.9e-05,70173.076923,2259976.0,0.180451,94165.666667,1.414821,,2.052254,302464.0,1.756384,3.60721,3.0,0.0,1.926977,169.0,909987.0,,,
o3-width-12-bubble-sort,0.008952,8951969000.0,12595595.0,8910000.0,1.9e-05,85673.076923,2629976.0,0.180451,109582.333333,1.40702,63000.0,2.04119,302363.0,1.75003,3.610064,151.0,0.0,1.918262,210.0,1026377.0,,,
o3-rob-032-bubble-sort,0.008228,8228208000.0,12595595.0,2249000.0,6e-06,70281.25,1184000.0,0.120301,74000.0,1.530782,,1.934013,300310.0,1.685034,2.843277,0.0,0.0,1.798336,438918.0,,,,
o3-rob-064-bubble-sort,0.008436,8435680000.0,12595595.0,5328000.0,1.3e-05,72986.30137,2135982.0,0.165414,97090.090909,1.493133,,1.957449,300526.0,1.694107,2.89741,0.0,0.0,1.820283,103234.0,,,,
