Run,simSeconds,simTicks,simInsts,board.cache_hierarchy.l1dcaches.overallMissLatency::total,board.cache_hierarchy.l1dcaches.overallMissRate::total,board.cache_hierarchy.l1dcaches.overallAvgMissLatency::total,board.cache_hierarchy.l1icaches.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissRate::total,board.cache_hierarchy.l2cache.overallAvgMissLatency::total,board.processor.cores.core.ipc,board.cache_hierarchy.l1icaches.overallMissRate::total,board.cache_hierarchy.l1icaches.overallAvgMissLatency::total,board.processor.cores.core.numIssuedDist::mean,board.processor.cores.core.commit.branchMispredicts,board.processor.cores.core.commit.numCommittedDist::mean,board.processor.cores.core.fetch.nisnDist::mean,board.processor.cores.core.iew.iqFullEvents,board.processor.cores.core.iew.lsqFullEvents,board.processor.cores.core.iew.wbRate,board.processor.cores.core.rename.ROBFullEvents,board.processor.cores.core.rename.IQFullEvents
inorder-daxpy,0.004079,4079376000.0,3276820.0,150304000.0,0.001314,116334.365325,77000.0,678161596.0,0.090644,91273.431494,0.803265,,,,,,,,,,,
o3-very-big-daxpy,0.002717,2717358000.0,3276820.0,702153000.0,0.010928,65346.952071,322000.0,1083141437.0,0.119103,110943.504763,1.205885,6e-06,80500.0,1.206203,3.0,1.20594,1.207219,0.0,0.0,1.206187,873776.0,
o3-very-small-daxpy,0.002747,2747099000.0,3276820.0,399969000.0,0.003757,108304.630382,140000.0,1202049146.0,0.111638,131357.135395,1.192829,2e-06,140000.0,1.192858,3.0,1.192849,1.192895,0.0,0.0,1.19284,523971.0,1565.0
o3-base-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-width-02-daxpy,0.002862,2861778000.0,3276820.0,660926000.0,0.009356,71855.403349,154000.0,995424553.0,0.117897,103003.368481,1.145029,2e-06,154000.0,1.145163,3.0,1.145065,1.145259,0.0,0.0,1.145142,323050.0,
o3-width-04-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-width-08-daxpy,0.002719,2718511000.0,3276820.0,799091000.0,0.009722,83604.41515,,1156460031.0,0.119997,117574.220313,1.205373,,,1.205459,3.0,1.205389,1.205568,0.0,0.0,1.205455,942566.0,
o3-width-10-daxpy,0.002719,2718893000.0,3276820.0,804857000.0,0.009747,83996.764767,,1161647034.0,0.120119,117981.620353,1.205204,,,1.205247,3.0,1.205213,1.205347,0.0,0.0,1.205244,982944.0,
o3-width-12-daxpy,0.002718,2718243000.0,3276820.0,790538000.0,0.009717,82752.852507,154000.0,1148280070.0,0.119872,116861.395278,1.205492,3e-06,77000.0,1.205578,3.0,1.205508,1.2057,0.0,0.0,1.205573,873993.0,
o3-rob-032-daxpy,0.002748,2748074000.0,3276820.0,406636000.0,0.003776,109546.336207,140000.0,1221394659.0,0.111736,133354.586636,1.192406,2e-06,140000.0,1.192442,3.0,1.192426,1.192507,0.0,0.0,1.192424,329984.0,
o3-rob-064-daxpy,0.002718,2718238000.0,3276820.0,517724000.0,0.006061,86895.602551,134000.0,1088480002.0,0.111943,118622.493679,1.205494,3e-06,67000.0,1.205523,3.0,1.2055,1.205586,0.0,0.0,1.205521,330248.0,
o3-rob-128-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-rob-256-daxpy,0.00272,2720073000.0,3276820.0,859889000.0,0.009601,91099.586821,134000.0,1165047661.0,0.120056,118387.121329,1.204681,3e-06,67000.0,1.204749,3.0,1.204695,1.204824,0.0,0.0,1.204743,,347293.0
o3-rob-512-daxpy,0.00272,2720073000.0,3276820.0,859889000.0,0.009601,91099.586821,134000.0,1165047661.0,0.120056,118387.121329,1.204681,3e-06,67000.0,1.204749,3.0,1.204695,1.204824,0.0,0.0,1.204743,,347293.0
o3-physical-regs-064-daxpy,0.002719,2718694000.0,3276820.0,512987000.0,0.006097,85583.41675,134000.0,1089344023.0,0.112004,118652.001198,1.205292,3e-06,67000.0,1.20532,3.0,1.205299,1.205385,0.0,0.0,1.205317,,
o3-physical-regs-128-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-physical-regs-256-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-physical-regs-512-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-fetchQ-32-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-fetchQ-64-daxpy,0.002718,2718264000.0,3276820.0,867933000.0,0.009796,90128.037383,120000.0,1191096010.0,0.120241,120849.838677,1.205483,2e-06,120000.0,1.205567,3.0,1.205498,1.205708,0.0,0.0,1.205562,332492.0,
o3-fetchQ-128-daxpy,0.002718,2718264000.0,3276820.0,867925000.0,0.009796,90127.206646,120000.0,1191071010.0,0.120241,120847.302151,1.205483,2e-06,120000.0,1.205567,3.0,1.205498,1.205827,0.0,0.0,1.205562,332492.0,
o3-fetchQ-256-daxpy,0.002718,2718264000.0,3276820.0,867933000.0,0.009796,90128.037383,120000.0,1191096010.0,0.120241,120849.838677,1.205483,2e-06,120000.0,1.205567,3.0,1.205498,1.205986,0.0,0.0,1.205562,332492.0,
o3-fetchQ-512-daxpy,0.002718,2718264000.0,3276820.0,867933000.0,0.009796,90128.037383,120000.0,1191096010.0,0.120241,120849.838677,1.205483,2e-06,120000.0,1.205567,3.0,1.205498,1.206199,0.0,0.0,1.205562,332492.0,
o3-instructionQ-32-daxpy,0.002718,2717710000.0,3276820.0,609888000.0,0.006309,98337.310545,134000.0,1125149185.0,0.111773,122806.066907,1.205728,3e-06,67000.0,1.205765,3.0,1.205736,1.205829,3.0,0.0,1.205762,6.0,1060843.0
o3-instructionQ-64-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-instructionQ-128-daxpy,0.002718,2717769000.0,3276820.0,862657000.0,0.009799,89552.268245,134000.0,1187576001.0,0.120276,120456.030125,1.205702,3e-06,67000.0,1.205746,3.0,1.205711,1.205813,0.0,0.0,1.205742,332160.0,
o3-instructionQ-256-daxpy,0.002718,2717769000.0,3276820.0,862657000.0,0.009799,89552.268245,134000.0,1187576001.0,0.120276,120456.030125,1.205702,3e-06,67000.0,1.205746,3.0,1.205711,1.205813,0.0,0.0,1.205742,332160.0,
o3-instructionQ-512-daxpy,0.002718,2717769000.0,3276820.0,862657000.0,0.009799,89552.268245,134000.0,1187576001.0,0.120276,120456.030125,1.205702,3e-06,67000.0,1.205746,3.0,1.205711,1.205813,0.0,0.0,1.205742,332160.0,
o3-lsQ-32-daxpy,0.002718,2717794000.0,3276820.0,866362000.0,0.009792,90002.285477,134000.0,1190067001.0,0.120288,120696.450406,1.205691,3e-06,67000.0,1.205775,3.0,1.205706,1.20586,0.0,0.0,1.205771,332169.0,
o3-lsQ-64-daxpy,0.002718,2717794000.0,3276820.0,866362000.0,0.009792,90002.285477,134000.0,1190067001.0,0.120288,120696.450406,1.205691,3e-06,67000.0,1.205775,3.0,1.205706,1.20586,0.0,0.0,1.205771,332169.0,
o3-lsQ-128-daxpy,0.002718,2717794000.0,3276820.0,863288000.0,0.009798,89627.076412,134000.0,1188046001.0,0.120288,120491.480832,1.205691,3e-06,67000.0,1.205735,3.0,1.2057,1.205801,0.0,0.0,1.205731,332156.0,
o3-lsQ-256-daxpy,0.002718,2717794000.0,3276820.0,866873000.0,0.0098,89980.589579,134000.0,1190542007.0,0.120276,120756.872604,1.205691,3e-06,67000.0,1.205775,3.0,1.205706,1.20586,0.0,0.0,1.205771,332174.0,
o3-lsQ-512-daxpy,0.002718,2717794000.0,3276820.0,866873000.0,0.0098,89980.589579,134000.0,1190542007.0,0.120276,120756.872604,1.205691,3e-06,67000.0,1.205775,3.0,1.205706,1.20586,0.0,0.0,1.205771,332174.0,
