Run,simSeconds,simTicks,simInsts,board.cache_hierarchy.l1dcaches.overallMissLatency::total,board.cache_hierarchy.l1dcaches.overallMissRate::total,board.cache_hierarchy.l1dcaches.overallAvgMissLatency::total,board.cache_hierarchy.l1icaches.overallMissLatency::total,board.cache_hierarchy.l1icaches.overallMissRate::total,board.cache_hierarchy.l1icaches.overallAvgMissLatency::total,board.cache_hierarchy.l2cache.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissRate::total,board.cache_hierarchy.l2cache.overallAvgMissLatency::total,board.processor.cores.core.ipc,board.processor.cores.core.numIssuedDist::mean,board.processor.cores.core.commit.branchMispredicts,board.processor.cores.core.commit.numCommittedDist::mean,board.processor.cores.core.fetch.nisnDist::mean,board.processor.cores.core.iew.iqFullEvents,board.processor.cores.core.iew.lsqFullEvents,board.processor.cores.core.iew.wbRate,board.processor.cores.core.rename.ROBFullEvents,board.processor.cores.core.rename.IQFullEvents,board.processor.cores.core.rename.SQFullEvents
inorder-riscv-matrix-multiply,0.037718,37718396000.0,33954673.0,905149000.0,0.004397,14308.846312,31660000.0,0.00011,68380.12959,59854985.0,0.012585,70834.301775,0.900215,,,,,,,,,,
o3-very-big-riscv-matrix-multiply,0.021972,21971626000.0,33954654.0,969212982.0,0.004887,15091.838838,39590000.0,0.000231,62248.427673,64288959.0,0.012804,74754.603488,1.545386,1.616789,10916.0,1.593876,2.037732,0.0,0.0,1.615408,7722575.0,,
o3-very-small-riscv-matrix-multiply,0.021799,21799167000.0,33954654.0,935675000.0,0.005148,14658.170539,34172000.0,0.000125,65089.52381,60099922.0,0.011984,74751.146766,1.557612,1.566698,10855.0,1.560803,1.580136,1830.0,59.0,1.564374,753381.0,5564264.0,507.0
o3-base-riscv-matrix-multiply,0.021501,21501313000.0,33954654.0,964185998.0,0.005136,15051.530589,34541000.0,0.000248,63846.580407,61101928.0,0.01225,74333.245742,1.57919,1.597481,10877.0,1.589243,1.643553,46579.0,2.0,1.595994,17.0,6561362.0,81.0
o3-width-02-riscv-matrix-multiply,0.024198,24198033000.0,33954654.0,947418000.0,0.005115,14821.006195,31994000.0,0.000222,66654.166667,57550908.0,0.011882,72209.420326,1.403199,1.418102,10847.0,1.410556,1.45714,8.0,0.0,1.416782,,1715425.0,11.0
o3-width-04-riscv-matrix-multiply,0.021501,21501313000.0,33954654.0,964185998.0,0.005136,15051.530589,34541000.0,0.000248,63846.580407,61101928.0,0.01225,74333.245742,1.57919,1.597481,10877.0,1.589243,1.643553,46579.0,2.0,1.595994,17.0,6561362.0,81.0
o3-width-08-riscv-matrix-multiply,0.021441,21441493000.0,33954654.0,958596996.0,0.005131,14957.744878,37879000.0,0.000269,64420.068027,61307933.0,0.012528,72898.850178,1.583595,1.602036,10902.0,1.593013,1.651106,22776.0,0.0,1.600677,125.0,11542192.0,98.0
o3-width-10-riscv-matrix-multiply,0.02144,21440118000.0,33954654.0,957178996.0,0.005132,14932.12374,38428000.0,0.000276,63517.355372,62942930.0,0.012617,74312.786305,1.583697,1.602182,10905.0,1.593099,1.650021,6592.0,0.0,1.600808,146.0,12290012.0,72.0
o3-width-12-riscv-matrix-multiply,0.02144,21440404000.0,33954654.0,961606997.0,0.005132,15001.435188,39753000.0,0.000288,63000.0,64125931.0,0.012778,74738.847319,1.583676,1.602127,10909.0,1.593778,1.653473,885.0,0.0,1.600812,128.0,12980327.0,125.0
o3-rob-032-riscv-matrix-multiply,0.021516,21515709000.0,33954654.0,945549999.0,0.005152,14785.076525,34803000.0,0.000248,65419.172932,57830916.0,0.012146,70958.179141,1.578133,1.587814,10856.0,1.582128,1.611447,0.0,0.0,1.586353,5707596.0,,30.0
o3-rob-064-riscv-matrix-multiply,0.021442,21441639000.0,33954654.0,958502998.0,0.005156,14964.918002,33849000.0,0.000248,62916.356877,59660934.0,0.012132,73293.530713,1.583585,1.597623,10872.0,1.590625,1.632579,0.0,2.0,1.596196,5641737.0,,82.0
o3-rob-128-riscv-matrix-multiply,0.021501,21501313000.0,33954654.0,964185998.0,0.005136,15051.530589,34541000.0,0.000248,63846.580407,61101928.0,0.01225,74333.245742,1.57919,1.597481,10877.0,1.589243,1.643553,46579.0,2.0,1.595994,17.0,6561362.0,81.0
o3-rob-256-riscv-matrix-multiply,0.021501,21501246000.0,33954654.0,964189998.0,0.005136,15051.358071,34882000.0,0.000248,64476.89464,61442928.0,0.01225,74748.087591,1.579194,1.597484,10878.0,1.589246,1.643543,46569.0,2.0,1.595997,,6561351.0,81.0
o3-rob-512-riscv-matrix-multiply,0.021501,21501246000.0,33954654.0,964189998.0,0.005136,15051.358071,34882000.0,0.000248,64476.89464,61442928.0,0.01225,74748.087591,1.579194,1.597484,10878.0,1.589246,1.643543,46569.0,2.0,1.595997,,6561351.0,81.0
o3-physical-regs-064-riscv-matrix-multiply,0.021452,21452149000.0,33954654.0,957615998.0,0.005168,14957.374662,34328000.0,0.000252,63570.37037,60111934.0,0.01222,73307.236585,1.582809,1.59257,10868.0,1.586836,1.617236,0.0,2.0,1.591103,,,81.0
